VER,29.2
HAM,26
PER,26.3
SAI,25.4
RUS,24.6
LEC,25.5
NOR,21
RIC,16.2
OCO,19
ALO,15.1
GAS,17.4
TSU,11.8
STR,12.8
VET,13
BOT,11.6
ALB,10.5
ZHO,11.6
SCH,5.7
LAT,5.3
MAG,7.4
